,SuperBowl,Date,AVG_viewers,TOT_viewers
0,I,1/15/1967,24430000,35600000.0
1,II,1/14/1968,39120000,51300000.0
2,III,1/12/1969,41660000,54500000.0
3,IV,1/11/1970,44270000,59200000.0
4,V,1/17/1971,46040000,58500000.0
5,VI,1/16/1972,56640000,67300000.0
6,VII,1/14/1973,53320000,67700000.0
7,VIII,1/13/1974,51700000,63200000.0
8,IX,1/12/1975,56050000,71300000.0
9,X,1/18/1976,57710000,73300000.0
10,XI,1/9/1977,62050000,81900000.0
11,XII,1/15/1978,78940000,102010000.0
12,XIII,1/21/1979,74740000,96630000.0
13,XIV,1/20/1980,76240000,97800000.0
14,XV,1/25/1981,68290000,94120000.0
15,XVI,1/24/1982,85240000,110230000.0
16,XVII,1/30/1983,81770000,109040000.0
17,XVIII,1/22/1984,77620000,105200000.0
18,XIX,1/20/1985,85530000,115940000.0
19,XX,1/26/1986,92570000,127060000.0
20,XXI,1/25/1987,87190000,119700000.0
21,XXII,1/31/1988,80140000,114600000.0
22,XXIII,1/22/1989,81590000,110780000.0
23,XXIV,1/28/1990,73850000,109900000.0
24,XXV,1/27/1991,79510000,112130000.0
25,XXVI,1/26/1992,79590000,119680000.0
26,XXVII,1/31/1993,90990000,133400000.0
27,XXVIII,1/30/1994,90000000,134840000.0
28,XXIX,1/29/1995,83420000,125220000.0
29,XXX,1/28/1996,94080000,138490000.0
30,XXXI,1/26/1997,87870000,128900000.0
31,XXXII,1/25/1998,90000000,133400000.0
32,XXXIII,1/31/1999,83720000,127500000.0
33,XXXIV,1/30/2000,88470000,130740000.0
34,XXXV,1/28/2001,84340000,131200000.0
35,XXXVI,2/3/2002,86800000,131700000.0
36,XXXVII,1/26/2003,88640000,138900000.0
37,XXXVIII,2/1/2004,89800000,144400000.0
38,XXXIX,2/6/2005,86070000,133700000.0
39,XL,2/5/2006,90750000,141400000.0
40,XLI,2/4/2007,93180000,139780000.0
41,XLII,2/3/2008,97450000,148300000.0
42,XLIII,2/1/2009,98730000,151600000.0
43,XLIV,2/7/2010,106480000,153400000.0
44,XLV,2/6/2011,111040000,162900000.0
45,XLVI,2/5/2012,111350000,159200000.0
46,XLVII,2/3/2013,108690000,164100000.0
47,XLVIII,2/2/2014,112190000,
48,XLIX,2/1/2015,114440000,161300000.0
49,L,2/7/2016,111860000,167000000.0
50,LI,2/5/2017,111320000,172000000.0
51,LII,2/4/2018,103470000,
52,LIII,2/3/2019,98480000,149000000.0
53,LIV,2/2/2020,101320000,148500000.0
54,LV,2/7/2021,98200000,
